,CellLineName,TissueMetaclass,DoublingTime,GDSC_CellLine,CCLE_CellLine,SeedingDensity,EMT,unique.id,isBlood,isBone,isBone.Marrow,isBrain,isBreast,isCervix,isColon,isConnective.Tissue,isEsophagus,isHead.and.Neck,isKidney,isLiver,isLung,isLymphoid,isMuscle,isOvary,isPancreas,isProstate,isSkin,isSmall.Intestine,isStomach,isUnclassified,isUninary,isUterus,DNADamageMutation,PI3K,MAPK,tissueid,Cell line,Tissue Supergroup,Metastatic Tissue,Primary Tissue,Tissue Diagnosis,Age,Age Unit,Gender,Ethnicity,SNP Cluster Number,In Final Analysis Set,Growth Media,Freeze Media,CCLE ID,Sanger ID
A388,A388,NA,45,A388,NA,NA,NA,A388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A431,A-431,Skin,30,A431,NA,1568,1.122996558,A431,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,skin,A-431,Skin,NA,Skin,Carcinoma Squamous Cell,85,Years,Female,NA,129,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,A431
A498,A-498,Kidney,30,A498,NA,328,-0.537643301,A498,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,7.226038071,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,kidney,A-498,Kidney,NA,Kidney,Carcinoma,52,NA,Female,NA,19,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",A-498,A498
A549,A549,Lung,32,A549,A549,387,-0.247737471,A549,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,lung,A549,Lung,NA,Lung,Carcinoma,58,Years,Male,Caucasian,371,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",A549,A549
A673,A-673,Muscle,26,A673,A-673,1723,-0.875677756,A673,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,15.72687743,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,bone,A-673,Sarcomatoid,NA,Skeletal Muscle,Rhabdomyosarcoma,15,Years,Female,NA,171,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",A-673,A673
ABC-1,ABC-1,Lung,35,ABC-1,NA,2945,0.702637591,ABC-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,lung,ABC-1,Lung,NA,Lung,Adenocarcinoma,NA,NA,NA,NA,370,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",ABC-1,ABC-1
ACHN,ACHN,Kidney,43,ACHN,ACHN,1012,-0.542984925,ACHN,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,7.226038071,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,kidney,ACHN,Kidney,NA,Kidney,Adenocarcinoma,22,Years,Male,Caucasian,252,TRUE,"EMEM, 10% FBS, 2mM L-Glutamine, 100mM HEPES","Complete growth medium, 90%; DMSO, 10%",ACHN,ACHN
AGS,AGS,Stomach,24,AGS,NA,NA,NA,AGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,AGS,Stomach,NA,Stomach,Adenocarcinoma,NA,NA,NA,NA,599,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",AGS,AGS
AM-38,AM-38,Brain,NA,AM-38,NA,7489,NA,AM-38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMO-1,AMO-1,Blood,28,NA,AMO-1,2094,-0.928629617,AMO-1,3.181311595,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,haematopoietic_and_lymphoid_tissue,AMO-1,Lymphoid,NA,Blood,Plasmacytoma,NA,NA,NA,NA,384,TRUE,"RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",AMO-1,NA
AN3-CA,AN3 CA,Uterus,69,AN3-CA,AN3 CA,2174,-0.615610505,AN3-CA,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,7.503934487,1.36225791,1.016311367,-0.738098397,endometrium,AN3 CA,Uterus,NA,Uterus,Adenocarcinoma,55,Years,Female,Caucasian,196,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",AN3 CA,AN3-CA
AsPC-1,AsPC-1,Pancreas,50,AsPC-1,AsPC-1,800,0.397561435,AsPC-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,pancreas,AsPC-1,Pancreas,NA,Pancreas,Adenocarcinoma,62,Years,Female,Caucasian,427,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% Complete Growth Media; 10% DMSO,AsPC-1,AsPC-1
AU565,AU565,Breast,55,AU565,AU565,2236,NA,AU565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCPAP,B-CPAP,Thyroid,30,BCPAP,B-CPAP,364,NA,BCPAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,thyroid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEN,BEN,Lung,45,BEN,NA,5287,0.488072205,BEN,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,lung,BEN,Lung,NA,Lung,Carcinoma,71,Years,Male,NA,244,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",BEN,BEN
BFTC-909,BFTC-909,Kidney,33,BFTC-909,BFTC-909,470,-0.921061372,BFTC-909,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,7.226038071,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,urinary_tract,BFTC-909,Kidney,NA,Kidney,Carcinoma Transitional Cell,64,Years,Male,NA,251,TRUE,"DMEM, 10% FBS, 2mM L-Gln","Complete growth medium, 90%; DMSO, 10%",BFTC-909,BFTC-909
BHY,BHY,Head and Neck,51,BHY,NA,951,0.748674122,BHY,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,6.976245921,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,upper_aerodigestive_tract,BHY,Head-Neck,NA,Oral Cavity,Carcinoma Squamous Cell,NA,NA,NA,NA,257,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",BHY,BHY
BOKU,BOKU,Cervix,68,BOKU,NA,1319,NA,BOKU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cervix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT-20,BT-20,Breast,50,BT-20,BT-20,2024,0.962202291,BT-20,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,breast,BT-20,Breast,NA,Breast,Carcinoma,74,Years,Female,Caucasian,569,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",BT-20,BT-20
BT-474,BT-474,Breast,70,BT-474,BT-474,8380,0.966475404,BT-474,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,NA,breast,BT-474,Breast,Soft Tissue,Breast,Adenocarcinoma Ductal,60,Years,Female,Caucasian,568,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",BT-474,NA
BT-549,BT-549,Breast,43,BT-549,BT-549,851,-0.398596849,BT-549,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,NA,breast,BT-549,Breast,NA,Breast,Adenocarcinoma Ductal,72,Years,Female,Caucasian,566,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",BT-549,BT-549
BxPC-3,BxPC-3,Pancreas,45,BxPC-3,BxPC-3,1339,1.016805493,BxPC-3,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,pancreas,BxPC-3,Pancreas,NA,Pancreas,Adenocarcinoma,61,Years,Female,NA,325,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",BxPC-3,BxPC-3
C2BBe1,C2BBe1,Colon,56,C2BBe1,C2BBe1,1608,0.770716454,C2BBe1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,large_intestine,C2BBe1,Colo-Rectal,NA,Colon,Adenocarcinoma,72,Years,Male,Caucasian,264,TRUE,DMEM; 10% FBS; 2mM L-Glutamine,90% FBS; 10% DMSO,C2BBe1,C2BBe1
C32,C32,Skin,60,C32,C32,2991,-0.69302407,C32,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,skin,C32,Skin,NA,Skin,Melanoma,53,Years,Male,Caucasian,73,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",C32,C32
C-33-A,C-33 A,Cervix,29,C-33-A,NA,1234,-1.092700836,C-33-A,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,10.26790689,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,cervix,C-33 A,Cervix,NA,Cervix,Carcinoma,NA,NA,NA,NA,193,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,C-33-A
C3A,C3A,Liver,50,C3A,C3A,3887,-0.181089974,C3A,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,liver,C3A,Liver,NA,Liver,Carcinoma,NA,NA,NA,NA,72,FALSE,NA,NA,C3A,C3A
CA46,CA46,Blood,35,CA46,NA,1546,-0.786076541,CA46,3.181311595,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,CA46,Lymphoid,NA,Blood,Malignant Lymphoma - Burkitts Type,NA,NA,Male,NA,486,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",CA46,CA46
CAKI-1,Caki-1,Kidney,61,CAKI-1,NA,439,-0.775245067,CAKI-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,7.226038071,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,kidney,Caki-1,Kidney,NA,Kidney,Adenocarcinoma Clear Cell,49,Years,Male,Caucasian,211,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Caki-1,CAKI-1
Caki-2,Caki-2,Kidney,40,NA,Caki-2,472,-0.624911406,Caki-2,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,7.226038071,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,kidney,Caki-2,Kidney,NA,Kidney,Carcinoma,69,Years,Male,Caucasian,165,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","FBS, 90%; DMSO, 10%",Caki-2,NA
CAL-120,CAL-120,Breast,40,CAL-120,NA,360,-0.308773212,CAL-120,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,breast,CAL-120,Breast,"Effusion, Pleural",Breast,Adenocarcinoma,43,Years,Female,NA,565,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",CAL-120,CAL-120
CAL-12T,CAL-12T,Lung,50,CAL-12T,CAL-12T,616,0.988302396,CAL-12T,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,lung,CAL-12T,Lung,NA,Lung,Carcinoma Non-Small Cell,NA,NA,Male,NA,243,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",CAL-12T,CAL-12T
CAL-148,CAL-148,Breast,35,CAL-148,NA,4029,0.58414055,CAL-148,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,breast,CAL-148,Breast,"Effusion, Pleural",Breast,Adenocarcinoma,58,Years,Female,NA,564,TRUE,"RPMI-1640, 10% FBS, 10ng/ml EGF, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",CAL-148,CAL-148
CAL-27,CAL 27,Head and Neck,44,CAL-27,CAL 27,824,0.975047631,CAL-27,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,6.976245921,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,upper_aerodigestive_tract,CAL 27,Head-Neck,NA,Tongue,Carcinoma Squamous Cell,56,Years,Male,Caucasian,120,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",CAL 27,CAL-27
